key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
8824	223	5462	^^^ *^[ebol]^* Ha-	0				838a	19	2011-01-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/8824.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲁ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲁ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ϩⲁ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ϩⲁ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	2
8825	223	5462	^^^ *^[ebol]^* Hn-,^^^ *^[ebol]^* Ken-	0				838a	20	2011-01-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/8825.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲛ-, <i><b>c</b></i> {ⲉⲃⲟⲗ} ϧⲉⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲛ-</span>, <span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϧⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ϩⲛ-, {ⲉⲃⲟⲗ} ϧⲉⲛ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ϩⲛ-</span>, <span class=""spelling"">{ⲉⲃⲟⲗ} ϧⲉⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	{ⲉⲃⲟⲗ} ϩⲛ-, {ⲉⲃⲟⲗ} ϧⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲛ-, {ⲉⲃⲟⲗ} ϧⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲛ-, {ⲉⲃⲟⲗ} ϧⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲛ-, {ⲉⲃⲟⲗ} ϧⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲛ-, {ⲉⲃⲟⲗ} ϧⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲛ-, {ⲉⲃⲟⲗ} ϧⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲛ-, {ⲉⲃⲟⲗ} ϧⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲛ-, {ⲉⲃⲟⲗ} ϧⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲛ-, {ⲉⲃⲟⲗ} ϧⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲛ-, {ⲉⲃⲟⲗ} ϧⲉⲛ- (c)	2
8826	223	5462	(S) ^^^ *^[ebol]^* Hht= (B) ^^^ *^[ebol]^* KatHh	0				838a	21	2011-01-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/8826.html	"(S) <i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲏⲧ=
(B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ϧⲁⲧϩⲏ"	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲏⲧ=</span> <span class=""nag-hammadi""></span></span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϧⲁⲧϩⲏ</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ϩⲏⲧ=, {ⲉⲃⲟⲗ} ϧⲁⲧϩⲏ	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">{ⲉⲃⲟⲗ} ϩⲏⲧ=</span> (c)</span>
<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">{ⲉⲃⲟⲗ} ϧⲁⲧϩⲏ</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	{ⲉⲃⲟⲗ} ϩⲏⲧ= (c)					{ⲉⲃⲟⲗ} ϧⲁⲧϩⲏ (c)					2
8827	223	5462	^^^ *^[ebol]^* Hitn-	0				838a	22	2011-01-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/8827.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓⲧⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓⲧⲛ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ϩⲓⲧⲛ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ϩⲓⲧⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	{ⲉⲃⲟⲗ} ϩⲓⲧⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓⲧⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓⲧⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓⲧⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓⲧⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓⲧⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓⲧⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓⲧⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓⲧⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓⲧⲛ- (c)	2
8828	223	5462	^^^ *^[ebol]^* HaJn- *^once^*,^^^ *^[ebol]^* KaJen-	0				838b	23	2011-01-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/8828.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, <i><b>c</b></i> {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}</span>, <span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}</span>, <span class=""spelling"">{ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838b	{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲁϫⲛ- {once}, {ⲉⲃⲟⲗ} ϧⲁϫⲉⲛ- (c)	2
8829	223	5462	(S) ^^^ *^[ebol]^* HiJn-	0				838b	24	2011-01-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/8829.html	(S) <i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓϫⲛ-	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓϫⲛ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ϩⲓϫⲛ-	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">{ⲉⲃⲟⲗ} ϩⲓϫⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838b	{ⲉⲃⲟⲗ} ϩⲓϫⲛ- (c)										2
5463	223	5461	^^ epesht	0				838b	25	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5463.html	― ⲉⲡⲉⲥⲏⲧ	"<span class=""word""><span class=""spelling"">― ⲉⲡⲉⲥⲏⲧ</span> <span class=""nag-hammadi""></span></span>"	― ⲉⲡⲉⲥⲏⲧ	"<span class=""word""><span class=""spelling"">― ⲉⲡⲉⲥⲏⲧ</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838b	― ⲉⲡⲉⲥⲏⲧ	― ⲉⲡⲉⲥⲏⲧ	― ⲉⲡⲉⲥⲏⲧ	― ⲉⲡⲉⲥⲏⲧ	― ⲉⲡⲉⲥⲏⲧ	― ⲉⲡⲉⲥⲏⲧ	― ⲉⲡⲉⲥⲏⲧ	― ⲉⲡⲉⲥⲏⲧ	― ⲉⲡⲉⲥⲏⲧ	― ⲉⲡⲉⲥⲏⲧ	1
5464	223	5461	(B) ^^ epSwi	0				838b	26	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5464.html	(B) ― ⲉⲡϣⲱⲓ	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">― ⲉⲡϣⲱⲓ</span> <span class=""nag-hammadi""></span></span>"	― ⲉⲡϣⲱⲓ	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">― ⲉⲡϣⲱⲓ</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838b						― ⲉⲡϣⲱⲓ					1
5465	223	5461	^^ epaHou,^^ efaHou	0				838b	27	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5465.html	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	"<span class=""word""><span class=""spelling"">― ⲉⲡⲁϩⲟⲩ</span>, <span class=""spelling"">― ⲉⲫⲁϩⲟⲩ</span> <span class=""nag-hammadi""></span></span>"	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	"<span class=""word""><span class=""spelling"">― ⲉⲡⲁϩⲟⲩ</span>, <span class=""spelling"">― ⲉⲫⲁϩⲟⲩ</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838b	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	― ⲉⲡⲁϩⲟⲩ, ― ⲉⲫⲁϩⲟⲩ	1
5466	223	5461	^^ eHoun,^^ eKoun	0				838b	28	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5466.html	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	"<span class=""word""><span class=""spelling"">― ⲉϩⲟⲩⲛ</span>, <span class=""spelling"">― ⲉϧⲟⲩⲛ</span> <span class=""nag-hammadi""></span></span>"	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	"<span class=""word""><span class=""spelling"">― ⲉϩⲟⲩⲛ</span>, <span class=""spelling"">― ⲉϧⲟⲩⲛ</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838b	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	1
5467	223	5461	^^ eHrai,^^ eKrai	0	down	down		838b	29	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5467.html	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	"<span class=""word""><span class=""spelling"">― ⲉϩⲣⲁⲓ</span>, <span class=""spelling"">― ⲉϧⲣⲁⲓ</span> <span class=""nag-hammadi""></span></span>"	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	"<span class=""word""><span class=""spelling"">― ⲉϩⲣⲁⲓ</span>, <span class=""spelling"">― ⲉϧⲣⲁⲓ</span></span>"	-		down	down	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838b	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	― ⲉϩⲣⲁⲓ, ― ⲉϧⲣⲁⲓ	1
5468	223	5461	^^ eHrai	0	up	up		838b	30	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5468.html	― ⲉϩⲣⲁⲓ	"<span class=""word""><span class=""spelling"">― ⲉϩⲣⲁⲓ</span> <span class=""nag-hammadi""></span></span>"	― ⲉϩⲣⲁⲓ	"<span class=""word""><span class=""spelling"">― ⲉϩⲣⲁⲓ</span></span>"	-		up	up	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838b	― ⲉϩⲣⲁⲓ	― ⲉϩⲣⲁⲓ	― ⲉϩⲣⲁⲓ	― ⲉϩⲣⲁⲓ	― ⲉϩⲣⲁⲓ	― ⲉϩⲣⲁⲓ	― ⲉϩⲣⲁⲓ	― ⲉϩⲣⲁⲓ	― ⲉϩⲣⲁⲓ	― ⲉϩⲣⲁⲓ	1
4085	223	0	^^	1	look, glance	look, glance		838b	31	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4085.html	―	"<span class=""word""><span class=""spelling"">―</span> <span class=""nag-hammadi""></span></span>"	―	"<span class=""word""><span class=""spelling"">―</span> (ⲡ)</span>"	noun male		look, glance	look, glance	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838b	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)	0
4086	223	0	(B) atJ.	0				838b	32	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4086.html	(B) ⲁⲧϫ.	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲁⲧϫ.</span> <span class=""nag-hammadi""></span></span>"	ⲁⲧϫ.	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲁⲧϫ.</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838b						ⲁⲧϫ.					0
4087	223	0	ma nG.,ma nJ.	0	look-out place	look-out place		839a	33	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4087.html	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	"<span class=""word""><span class=""spelling"">ⲙⲁ ⲛϭ.</span>, <span class=""spelling"">ⲙⲁ ⲛϫ.</span> <span class=""nag-hammadi""></span></span>"	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	"<span class=""word""><span class=""spelling"">ⲙⲁ ⲛϭ.</span>, <span class=""spelling"">ⲙⲁ ⲛϫ.</span></span>"	-		look-out place	look-out place	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=839a	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	ⲙⲁ ⲛϭ., ⲙⲁ ⲛϫ.	0
4088	223	0	reFG.	0	one who sees /$gk: [[oraths]]$/	one who sees /$gk: [[oraths]]$/	oraths	839a	34	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4088.html	ⲣⲉϥϭ.	"<span class=""word""><span class=""spelling"">ⲣⲉϥϭ.</span> <span class=""nag-hammadi""></span></span>"	ⲣⲉϥϭ.	"<span class=""word""><span class=""spelling"">ⲣⲉϥϭ.</span></span>"	-	ορατησ	one who sees [ορατησ]	one who sees	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=839a	ⲣⲉϥϭ.	ⲣⲉϥϭ.	ⲣⲉϥϭ.	ⲣⲉϥϭ.	ⲣⲉϥϭ.	ⲣⲉϥϭ.	ⲣⲉϥϭ.	ⲣⲉϥϭ.	ⲣⲉϥϭ.	ⲣⲉϥϭ.	0
4089	223	0	GinG.,JinJ.	0				839a	35	2010-04-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/4089.html	ϭⲓⲛϭ., ϫⲓⲛϫ.	"<span class=""word""><span class=""spelling"">ϭⲓⲛϭ.</span>, <span class=""spelling"">ϫⲓⲛϫ.</span> <span class=""nag-hammadi""></span></span>"	ϭⲓⲛϭ., ϫⲓⲛϫ.	"<span class=""word""><span class=""spelling"">ϭⲓⲛϭ.</span>, <span class=""spelling"">ϫⲓⲛϫ.</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=839a	ϭⲓⲛϭ., ϫⲓⲛϫ.	ϭⲓⲛϭ., ϫⲓⲛϫ.	ϭⲓⲛϭ., ϫⲓⲛϫ.	ϭⲓⲛϭ., ϫⲓⲛϫ.	ϭⲓⲛϭ., ϫⲓⲛϫ.	ϭⲓⲛϭ., ϫⲓⲛϫ.	ϭⲓⲛϭ., ϫⲓⲛϫ.	ϭⲓⲛϭ., ϫⲓⲛϫ.	ϭⲓⲛϭ., ϫⲓⲛϫ.	ϭⲓⲛϭ., ϫⲓⲛϫ.	0
5078	224	0		99	With following preposition:	With following preposition:		544b	1	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5078.html					HEADER		With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=544b											0
5079	224	5078	(S,A,B,F,O) ^^ e-	0	go to	go to		544b	2	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5079.html	(S, A, B, F, O) ― ⲉ-	"<span class=""word S A B F O"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>, <span class=""dialect O"">O</span>) <span class=""spelling S A B F O"">― ⲉ-</span> <span class=""nag-hammadi""></span></span>"	― ⲉ-	"<span class=""word S A B F O"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>, <span class=""dialect O"">O</span>) <span class=""spelling S A B F O"">― ⲉ-</span></span>"	-		go to	go to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=544b	― ⲉ-			― ⲉ-		― ⲉ-	― ⲉ-		― ⲉ-		1
7262	224	5078	^^^ emau	0	thither	thither		545a	3	2010-08-09	2010-08-09	vagrant	vagrant	https://pishoyg.github.io/crum/7262.html	<i><b>c</b></i> ⲉⲙⲁⲩ	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉⲙⲁⲩ</span> <span class=""nag-hammadi""></span></span>"	ⲉⲙⲁⲩ	"<span class=""word""><span class=""spelling"">ⲉⲙⲁⲩ</span> (c)</span>"	-		thither	thither	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	ⲉⲙⲁⲩ (c)	ⲉⲙⲁⲩ (c)	ⲉⲙⲁⲩ (c)	ⲉⲙⲁⲩ (c)	ⲉⲙⲁⲩ (c)	ⲉⲙⲁⲩ (c)	ⲉⲙⲁⲩ (c)	ⲉⲙⲁⲩ (c)	ⲉⲙⲁⲩ (c)	ⲉⲙⲁⲩ (c)	1
7263	224	5078	^^^ erat=	0	to	to		545a	4	2010-08-09	2010-08-09	vagrant	vagrant	https://pishoyg.github.io/crum/7263.html	<i><b>c</b></i> ⲉⲣⲁⲧ=	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉⲣⲁⲧ=</span> <span class=""nag-hammadi""></span></span>"	ⲉⲣⲁⲧ=	"<span class=""word""><span class=""spelling"">ⲉⲣⲁⲧ=</span> (c)</span>"	-		to	to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	ⲉⲣⲁⲧ= (c)	ⲉⲣⲁⲧ= (c)	ⲉⲣⲁⲧ= (c)	ⲉⲣⲁⲧ= (c)	ⲉⲣⲁⲧ= (c)	ⲉⲣⲁⲧ= (c)	ⲉⲣⲁⲧ= (c)	ⲉⲣⲁⲧ= (c)	ⲉⲣⲁⲧ= (c)	ⲉⲣⲁⲧ= (c)	1
7264	224	5078	^^^ eHren-	0	toward	toward		545a	5	2010-08-09	2010-08-09	vagrant	vagrant	https://pishoyg.github.io/crum/7264.html	<i><b>c</b></i> ⲉϩⲣⲉⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> ⲉϩⲣⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	ⲉϩⲣⲉⲛ-	"<span class=""word""><span class=""spelling"">ⲉϩⲣⲉⲛ-</span> (c)</span>"	-		toward	toward	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	ⲉϩⲣⲉⲛ- (c)	ⲉϩⲣⲉⲛ- (c)	ⲉϩⲣⲉⲛ- (c)	ⲉϩⲣⲉⲛ- (c)	ⲉϩⲣⲉⲛ- (c)	ⲉϩⲣⲉⲛ- (c)	ⲉϩⲣⲉⲛ- (c)	ⲉϩⲣⲉⲛ- (c)	ⲉϩⲣⲉⲛ- (c)	ⲉϩⲣⲉⲛ- (c)	1
5080	224	5078	^^ eJen-	0	on to	on to		545a	6	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5080.html	― ⲉϫⲉⲛ-	"<span class=""word""><span class=""spelling"">― ⲉϫⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ⲉϫⲉⲛ-	"<span class=""word""><span class=""spelling"">― ⲉϫⲉⲛ-</span></span>"	-		on to	on to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	― ⲉϫⲉⲛ-	― ⲉϫⲉⲛ-	― ⲉϫⲉⲛ-	― ⲉϫⲉⲛ-	― ⲉϫⲉⲛ-	― ⲉϫⲉⲛ-	― ⲉϫⲉⲛ-	― ⲉϫⲉⲛ-	― ⲉϫⲉⲛ-	― ⲉϫⲉⲛ-	1
5081	224	5078	^^ nsa-	0	after	after		545a	7	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5081.html	― ⲛⲥⲁ-	"<span class=""word""><span class=""spelling"">― ⲛⲥⲁ-</span> <span class=""nag-hammadi""></span></span>"	― ⲛⲥⲁ-	"<span class=""word""><span class=""spelling"">― ⲛⲥⲁ-</span></span>"	-		after	after	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	― ⲛⲥⲁ-	1
5082	224	5078	^^ samenHe	0	after	after		545a	8	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5082.html	― ⲥⲁⲙⲉⲛϩⲉ	"<span class=""word""><span class=""spelling"">― ⲥⲁⲙⲉⲛϩⲉ</span> <span class=""nag-hammadi""></span></span>"	― ⲥⲁⲙⲉⲛϩⲉ	"<span class=""word""><span class=""spelling"">― ⲥⲁⲙⲉⲛϩⲉ</span></span>"	-		after	after	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	― ⲥⲁⲙⲉⲛϩⲉ	― ⲥⲁⲙⲉⲛϩⲉ	― ⲥⲁⲙⲉⲛϩⲉ	― ⲥⲁⲙⲉⲛϩⲉ	― ⲥⲁⲙⲉⲛϩⲉ	― ⲥⲁⲙⲉⲛϩⲉ	― ⲥⲁⲙⲉⲛϩⲉ	― ⲥⲁⲙⲉⲛϩⲉ	― ⲥⲁⲙⲉⲛϩⲉ	― ⲥⲁⲙⲉⲛϩⲉ	1
